Date(MM/DD/YYYY),Hour,Solar Radiance(w/m^2),Temperature(C),Solar Power(kW)
1/5/2008,11,205.6331,14.264,54.1678712
1/5/2008,12,299.0614,14.5275,78.68025064
1/5/2008,13,240.0251,14.5175,63.15135389
1/5/2008,14,153.7352,14.1907,40.51101237
1/5/2008,15,151.2137,13.2242,40.02925286
1/5/2008,16,109.6391,12.072,29.18154286
1/5/2008,17,14.5714,12.4413,3.871597301
1/5/2008,18,-2.2324,12.2787,0
1/5/2008,19,-2.2486,11.7442,0
1/5/2008,20,-1.9877,11.2865,0
1/5/2008,21,-2.0511,11.086,0
1/5/2008,22,-2.0981,11.0872,0
1/5/2008,23,-1.9685,10.9488,0
1/6/2008,0,-2.0544,10.7295,0
1/6/2008,1,-2.2201,10.5713,0
1/6/2008,2,-2.2716,10.703,0
1/6/2008,3,-1.917,11.0093,0
1/6/2008,4,-1.7857,10.9552,0
1/6/2008,5,-1.8447,11.4697,0
1/6/2008,6,-2.1126,11.3885,0
1/6/2008,7,-0.5935,11.183,0
1/6/2008,8,30.4682,11.5588,8.128961462
1/6/2008,9,199.6142,11.8463,53.18563163
1/6/2008,10,394.5066,12.6515,104.7161059
1/6/2008,11,568.452,13.3842,150.3667809
1/6/2008,12,236.5855,13.6172,62.51263179
1/6/2008,13,263.606,13.5262,69.68220315
1/6/2008,14,242.4652,12.9545,64.26706821
1/6/2008,15,367.4661,13.1232,97.32192672
1/6/2008,16,183.8326,12.978,48.7206944
1/6/2008,17,22.6891,11.9058,6.043644517
1/6/2008,18,-2.3746,11.2013,0
1/6/2008,19,-1.8481,10.7543,0
1/6/2008,20,-1.5862,10.4342,0
1/6/2008,21,-1.4639,10.287,0
1/6/2008,22,-1.7108,10.4452,0
1/6/2008,23,-1.4752,9.9287,0
1/7/2008,0,-1.1121,9.6402,0
1/7/2008,1,-1.0816,9.4193,0
1/7/2008,2,-0.9347,9.1932,0
1/7/2008,3,-0.9938,8.758,0
1/7/2008,4,-0.7071,8.3627,0
1/7/2008,5,-0.9411,8.166,0
1/7/2008,6,-1.1627,7.6279,0
1/7/2008,7,-0.4298,7.7313,0
1/7/2008,8,33.686,7.7988,9.145799529
1/7/2008,9,233.8819,8.6571,63.24836063
1/7/2008,10,402.1018,9.6952,108.2180595
1/7/2008,11,506.2539,10.251,135.8968985
1/7/2008,12,471.033,11.0123,125.9940854
1/7/2008,13,564.9628,11.7517,150.5966958
1/7/2008,14,477.6143,12,127.1648074
1/7/2008,15,334.8309,12.391,88.98507852
1/7/2008,16,119.9945,12.4082,31.88730843
1/7/2008,17,17.7782,11.9655,4.734212435
1/7/2008,18,-2.8016,11.7133,0
1/7/2008,19,-3.2351,10.3133,0
1/7/2008,20,-3.0804,10.0587,0
1/7/2008,21,-3.2014,8.4905,0
1/7/2008,22,-2.806,7.568,0
1/7/2008,23,-2.9644,7.483,0
1/8/2008,0,-2.6258,6.8014,0
1/8/2008,1,-2.9523,6.4306,0
1/8/2008,2,-2.9607,5.951,0
1/8/2008,3,-2.6465,4.9375,0
1/8/2008,4,-2.2863,4.6192,0
1/8/2008,5,-2.0391,4.3209,0
1/8/2008,6,-1.5689,4.324,0
1/8/2008,7,0.7916,4.5588,0.218126567
1/8/2008,8,51.1649,5.0011,14.07027715
1/8/2008,9,233.1947,6.0691,63.81690693
1/8/2008,10,242.8534,7.0693,66.15651432
1/8/2008,11,232.546,7.767,63.14583152
1/8/2008,12,111.7786,7.8952,30.33458825
1/8/2008,13,189.9488,8.2614,51.46154623
1/8/2008,14,167.294,8.684,45.23546113
1/8/2008,15,139.6645,9.0203,37.70587101
1/8/2008,16,84.5105,9.1627,22.80064768
1/8/2008,17,17.7176,9.0545,4.782544989
1/8/2008,18,-1.4972,8.7733,0
1/8/2008,19,-1.3587,8.5552,0
1/8/2008,20,-1.2866,8.2743,0
1/8/2008,21,-1.7312,7.7074,0
1/8/2008,22,-1.0111,7.4666,0
1/8/2008,23,-1.391,7.7629,0
1/9/2008,0,-2.1108,7.1869,0
1/9/2008,1,-1.8385,6.8715,0
1/9/2008,2,-1.457,6.5588,0
1/9/2008,3,-1.8652,6.1319,0
1/9/2008,4,-2.3413,5.8775,0
1/9/2008,5,-2.0937,5.2348,0
1/9/2008,6,-2.593,4.9942,0
1/9/2008,7,-0.9272,4.5349,0
1/9/2008,8,82.3843,4.8369,22.6724786
1/9/2008,9,251.7994,6.4375,68.79238295
1/9/2008,10,409.2902,8.0917,110.9730519
1/9/2008,11,508.9945,9.8567,136.8834455
1/9/2008,12,542.2846,11.249,144.8923444
1/9/2008,13,540.8212,13.0047,143.3144407
1/9/2008,14,418.4829,13.6237,110.5717088
1/9/2008,15,321.4585,13.544,84.96791072
1/9/2008,16,110.7694,13.0218,29.35087253
1/9/2008,17,19.8085,11.7023,5.281384363
1/9/2008,18,-2.3132,11.3385,0
1/9/2008,19,-2.3669,11.0343,0
1/9/2008,20,-2.8594,10.8683,0
1/9/2008,21,-2.4494,9.9525,0
1/9/2008,22,-2.1321,8.9435,0
1/9/2008,23,-2.5434,7.897,0
1/10/2008,0,-2.3333,7.1685,0
1/10/2008,1,-2.5787,6.2459,0
1/10/2008,2,-2.3987,5.6068,0
1/10/2008,3,-1.6885,5.5281,0
1/10/2008,4,-2.1048,4.4194,0
1/10/2008,5,-2.1374,4.3598,0
1/10/2008,6,-0.469,4.7007,0
1/10/2008,7,1.3064,5.1863,0.358955772
1/10/2008,8,67.3331,5.5187,18.4729454
1/10/2008,9,232.839,8.0243,63.15050627
1/10/2008,10,389.93,9.6022,104.9875802
1/10/2008,11,493.9223,10.6323,132.3512343
1/10/2008,12,541.1971,11.3345,144.5439362
1/10/2008,13,531.5597,12.3152,141.3183356
1/10/2008,14,462.1661,13.1682,122.3768461
1/10/2008,15,333.4798,13.7433,88.06230258
1/10/2008,16,139.2944,13.8148,36.77114465
1/10/2008,17,19.1401,13.5963,5.057859948
1/10/2008,18,-2.8869,12.3468,0
1/10/2008,19,-2.0499,11.7985,0
1/10/2008,20,-2.2992,11.8858,0
1/10/2008,21,-1.9499,11.5567,0
1/10/2008,22,-1.1617,10.6423,0
1/10/2008,23,-2.2186,10.0678,0
1/11/2008,0,-1.9533,9.413,0
1/11/2008,1,-1.9873,8.8012,0
1/11/2008,2,-2.4046,8.0901,0
1/11/2008,3,-2.6551,7.2777,0
1/11/2008,4,-2.1556,6.6275,0
1/11/2008,5,-1.9961,5.6733,0
1/11/2008,6,-1.9846,5.6767,0
1/11/2008,7,-0.0448,5.7193,0
1/11/2008,8,78.168,6.1161,21.38714587
1/11/2008,9,241.9403,7.4832,65.78259981
1/11/2008,10,391.2218,9.6412,105.3163217
1/11/2008,11,482.8519,11.4352,128.9002118
1/11/2008,12,542.675,12.0708,144.439192
1/11/2008,13,539.7265,13.6463,142.591491
1/11/2008,14,468.2544,14.7055,123.0891562
1/11/2008,15,341.2971,15.5128,89.37171731
1/11/2008,16,136.2664,15.637,35.66142788
1/11/2008,17,22.5278,14.631,5.923938448
1/11/2008,18,-3.635,13.2445,0
1/11/2008,19,-3.3377,12.6363,0
1/11/2008,20,-2.7955,11.5667,0
1/11/2008,21,-2.5635,10.6705,0
1/11/2008,22,-2.3259,10.2508,0
1/11/2008,23,-2.4938,9.4585,0
1/12/2008,0,-2.7016,8.867,0
1/12/2008,1,-2.9726,8.1467,0
1/12/2008,2,-2.6647,7.6536,0
1/12/2008,3,-2.5556,7.084,0
1/12/2008,4,-2.1745,5.4159,0
1/12/2008,5,-1.9714,5.0078,0
1/12/2008,6,-2.3638,5.4027,0
1/12/2008,7,-0.0814,5.1633,0
1/12/2008,8,62.7049,5.5281,17.20245443
1/12/2008,9,175.8372,6.7489,47.9708279
1/12/2008,10,311.4335,9.2091,84.00564407
1/12/2008,11,378.1492,10.6087,101.3398732
1/12/2008,12,333.5638,11.6467,88.95867186
1/12/2008,13,305.5378,12.752,81.06223372
1/12/2008,14,249.7218,13.2058,66.11203607
1/12/2008,15,204.5901,13.6342,54.0541877
1/12/2008,16,118.5896,13.7438,31.31598532
1/12/2008,17,22.1509,13.538,5.85509202
1/12/2008,18,-1.6644,13.2633,0
1/12/2008,19,-1.5051,12.7957,0
1/12/2008,20,-1.6189,12.4455,0
1/12/2008,21,-1.4235,12.168,0
1/12/2008,22,-1.1642,11.8823,0
1/12/2008,23,-1.6018,11.2958,0
1/13/2008,0,-2.9352,10.4308,0
1/13/2008,1,-2.1814,9.9142,0
1/13/2008,2,-2.0714,10.9502,0
1/13/2008,3,-3.0567,8.7515,0
1/13/2008,4,-2.2944,9.5012,0
1/13/2008,5,-2.6639,8.8996,0
1/13/2008,6,-2.1054,9.4005,0
1/13/2008,7,-0.3371,10.7385,0
1/13/2008,8,93.2169,10.823,24.95614499
1/13/2008,9,270.1549,12.1798,71.86802481
1/13/2008,10,423.7843,13.2232,112.1846037
1/13/2008,11,525.791,14.0845,138.6218396
1/13/2008,12,570.2836,14.7822,149.8547047
1/13/2008,13,558.211,15.4167,146.2396293
1/13/2008,14,489.1956,15.8407,127.8997616
1/13/2008,15,359.9204,16.4435,93.82967363
1/13/2008,16,158.8867,16.459,41.41798913
1/13/2008,17,26.0518,16.1752,6.800327406
1/13/2008,18,-2.7151,14.7712,0
1/13/2008,19,-2.8255,13.2743,0
1/13/2008,20,-2.9735,12.485,0
1/13/2008,21,-3.503,11.8258,0
1/13/2008,22,-2.2347,11.5053,0
1/13/2008,23,-2.866,10.7613,0
1/14/2008,0,-2.4925,9.8542,0
1/14/2008,1,-2.3387,9.2192,0
1/14/2008,2,-2.4005,10.2578,0
1/14/2008,3,-2.2448,9.5677,0
1/14/2008,4,-2.368,8.2627,0
1/14/2008,5,-2.0465,7.7568,0
1/14/2008,6,-2.9403,7.6436,0
1/14/2008,7,-0.8777,7.2792,0
1/14/2008,8,93.0457,7.7205,25.27115397
1/14/2008,9,270.9884,8.6883,73.27245186
1/14/2008,10,428.4753,9.9333,115.188461
1/14/2008,11,532.5539,11.5245,142.1090126
1/14/2008,12,582.704,12.3987,154.8545349
1/14/2008,13,568.1812,13.4363,150.2581462
1/14/2008,14,496.2531,14.6043,130.5118979
1/14/2008,15,363.949,15.1137,95.48488625
1/14/2008,16,159.4704,15.3427,41.79266687
1/14/2008,17,24.4914,15.1912,6.423139055
1/14/2008,18,-3.9675,13.8032,0
1/14/2008,19,-3.6832,12.8677,0
1/14/2008,20,-3.7249,11.4072,0
1/14/2008,21,-3.4931,9.3385,0
1/14/2008,22,-3.3259,8.2793,0
1/14/2008,23,-3.1677,7.9931,0
1/15/2008,0,-2.9528,7.4072,0
1/15/2008,1,-2.7299,6.7699,0
1/15/2008,2,-1.6719,6.0585,0
1/15/2008,3,-1.9246,5.8345,0
1/15/2008,4,-0.8691,5.8124,0
1/15/2008,5,-1.2498,6.2568,0
1/15/2008,6,-2.1615,6.3079,0
1/15/2008,7,-0.9089,5.2498,0
1/15/2008,8,55.948,5.6968,15.33696929
1/15/2008,9,167.0396,6.3735,45.64910389
1/15/2008,10,406.3159,8.3806,110.0198831
1/15/2008,11,510.3812,10.3517,136.9405712
1/15/2008,12,558.2219,11.864,148.7214786
1/15/2008,13,550.5866,13.5092,145.5550006
1/15/2008,14,485.555,13.5955,128.31064
1/15/2008,15,360.1254,13.9238,95.01737619
1/15/2008,16,162.8089,14.0518,42.9303055
1/15/2008,17,28.8367,13.2903,7.631261382
1/15/2008,18,-3.3536,12.2242,0
1/15/2008,19,-2.1871,11.8412,0
1/15/2008,20,-3.0089,11.1173,0
1/15/2008,21,-2.1145,10.5163,0
1/15/2008,22,-2.8846,9.1588,0
1/15/2008,23,-2.4886,8.8962,0
1/16/2008,0,-1.9974,8.5145,0
1/16/2008,1,-1.9502,6.7434,0
1/16/2008,2,-1.6941,5.9831,0
1/16/2008,3,-1.5984,4.9168,0
1/16/2008,4,-1.3317,4.2289,0
1/16/2008,5,-1.3494,3.6936,0
1/16/2008,6,-1.4218,3.2864,0
1/16/2008,7,-0.0148,3.0313,0
1/16/2008,8,40.263,2.9967,11.17314858
1/16/2008,9,160.9781,3.3547,44.60004908
1/16/2008,10,217.5185,3.5263,60.21828377
1/16/2008,11,314.6945,3.7459,87.03431047
1/16/2008,12,283.4206,4.1538,78.24045314
1/16/2008,13,313.3246,4.4356,86.38531551
1/16/2008,14,354.0741,5.0095,97.36617287
1/16/2008,15,227.8852,4.917,62.69207309
1/16/2008,16,103.5052,4.8996,28.4769199
1/16/2008,17,19.785,4.7824,5.44625652
1/16/2008,18,-2.1733,4.2233,0
1/16/2008,19,-2.3856,3.3345,0
1/16/2008,20,-2.1079,3.0179,0
1/16/2008,21,-2.3579,2.4509,0
1/16/2008,22,-2.2581,1.6907,0
1/16/2008,23,-2.5981,1.6522,0
1/17/2008,0,-2.3073,1.1535,0
1/17/2008,1,-2.832,0.5739,0
1/17/2008,2,-2.5115,0.9274,0
1/17/2008,3,-2.5953,0.3988,0
1/17/2008,4,-2.1398,-0.4048,0
1/17/2008,5,-2.3936,-0.7687,0
1/17/2008,6,-2.0238,-1.1005,0
1/17/2008,7,-0.1213,-1.1028,0
1/17/2008,8,96.0119,-0.818,27.10151904
1/17/2008,9,281.0845,0.1648,78.99711222
1/17/2008,10,438.018,1.6081,122.3120916
1/17/2008,11,542.7274,2.6633,150.8352739
1/17/2008,12,593.068,3.8765,163.9265899
1/17/2008,13,577.0726,5.2487,158.5155676
1/17/2008,14,510.4318,6.2668,139.5604762
1/17/2008,15,377.0852,7.1463,102.6867575
1/17/2008,16,174.2551,7.4475,47.3870408
1/17/2008,17,20.1707,7.2451,5.490335952
1/17/2008,18,-2.6197,6.8757,0
1/17/2008,19,-2.4072,6.5725,0
1/17/2008,20,-2.4154,5.7305,0
1/17/2008,21,-2.2664,4.855,0
1/17/2008,22,-2.6855,4.3374,0
1/17/2008,23,-2.5507,5.0372,0
1/18/2008,0,-2.0887,4.18,0
1/18/2008,1,-2.5188,3.0239,0
1/18/2008,2,-1.9883,3.8359,0
1/18/2008,3,-2.1173,3.9104,0
1/18/2008,4,-1.8678,3.6432,0
1/18/2008,5,-2.3879,2.6218,0
1/18/2008,6,-2.5125,2.3988,0
1/18/2008,7,0.0511,3.0113,0.014179528
1/18/2008,8,92.3781,4.0268,25.51635546
1/18/2008,9,269.9623,5.3605,74.11798074
1/18/2008,10,429.1463,6.8806,117.0064168
1/18/2008,11,535.9123,7.918,145.4211424
1/18/2008,12,585.9111,9.6813,157.6970205
1/18/2008,13,573.0912,11.0403,153.2730265
1/18/2008,14,507.5956,11.993,135.15177
1/18/2008,15,377.9709,12.649,100.3281232
1/18/2008,16,178.5178,13.0402,47.29824648
1/18/2008,17,39.3411,12.636,10.4432917
1/18/2008,18,-2.8596,11.6565,0
1/18/2008,19,-2.7054,11.0115,0
1/18/2008,20,-2.3269,10.0553,0
1/18/2008,21,-2.4022,9.24,0
1/18/2008,22,-3.1448,8.1286,0
1/18/2008,23,-2.6028,7.9088,0
1/19/2008,0,-2.8822,6.6899,0
1/19/2008,1,-2.6189,6.413,0
1/19/2008,2,-2.9329,5.959,0
1/19/2008,3,-2.8803,4.3671,0
1/19/2008,4,-2.8528,3.9698,0
1/19/2008,5,-2.583,3.0099,0
1/19/2008,6,-2.4417,3.1156,0
1/19/2008,7,-0.337,2.3597,0
1/19/2008,8,95.7279,3.0203,26.56206315
1/19/2008,9,273.6662,5.6709,75.02870168
1/19/2008,10,432.3285,7.2602,117.6689014
1/19/2008,11,539.3963,8.2316,146.1550911
1/19/2008,12,584.1527,9.0133,157.7115175
1/19/2008,13,570.2982,10.2182,153.1120924
1/19/2008,14,503.4996,10.9478,134.7189963
1/19/2008,15,376.2238,11.5868,100.3639063
1/19/2008,16,175.339,11.9903,46.68613474
1/19/2008,17,37.7932,11.5112,10.08553115
1/19/2008,18,-3.7764,10.5073,0
1/19/2008,19,-3.3899,9.6832,0
1/19/2008,20,-3.2275,9.2215,0
1/19/2008,21,-3.182,7.7733,0
1/19/2008,22,-3.1494,6.4545,0
1/19/2008,23,-3.2768,5.5538,0
1/20/2008,0,-3.2308,4.7075,0
1/20/2008,1,-2.8429,3.8541,0
1/20/2008,2,-2.0706,3.1262,0
1/20/2008,3,-1.9076,2.6674,0
1/20/2008,4,-2.0538,2.2154,0
1/20/2008,5,-2.8308,1.9475,0
1/20/2008,6,-2.8205,1.692,0
1/20/2008,7,0.4576,1.0808,0.128081782
1/20/2008,8,118.7507,1.4669,33.18089012
1/20/2008,9,353.1045,3.806,97.63074597
1/20/2008,10,312.1187,5.025,85.82288879
1/20/2008,11,543.3633,6.6213,148.3237139
1/20/2008,12,596.2114,8.2856,161.5094948
1/20/2008,13,587.5682,9.7923,158.0615011
1/20/2008,14,528.6481,10.589,141.6849597
1/20/2008,15,395.114,11.9355,105.2309586
1/20/2008,16,184.7354,13.6063,48.81487466
1/20/2008,17,38.3316,14.4113,10.09025227
1/20/2008,18,-3.08,14.5255,0
1/20/2008,19,-3.066,14.0787,0
1/20/2008,20,-3.0251,13.8932,0
1/20/2008,21,-2.7354,13.428,0
1/20/2008,22,-2.6151,12.9785,0
1/20/2008,23,-2.1881,12.2167,0
1/21/2008,0,-2.1338,11.687,0
1/21/2008,1,-2.2678,10.9167,0
1/21/2008,2,-2.3553,10.2233,0
1/21/2008,3,-2.0189,9.5575,0
1/21/2008,4,-2.2165,9.4668,0
1/21/2008,5,-2.2921,8.595,0
1/21/2008,6,-2.5465,8.2451,0
1/21/2008,7,0.0368,7.8512,0.009988845
1/21/2008,8,95.5809,7.5192,25.98376325
1/21/2008,9,285.4552,8.3552,77.30298089
1/21/2008,10,446.5729,9.293,120.4111257
1/21/2008,11,549.5994,10.1472,147.6037125
1/21/2008,12,614.7144,10.894,164.5175517
1/21/2008,13,603.2598,11.5888,160.9279973
1/21/2008,14,520.3828,12.2828,138.3679652
1/21/2008,15,396.9714,12.4213,105.4845802
1/21/2008,16,191.4384,12.2775,50.90406881
1/21/2008,17,43.9914,11.5843,11.73556928
1/21/2008,18,-2.0062,10.9797,0
1/21/2008,19,-1.9666,10.363,0
1/21/2008,20,-2.2001,9.831,0
1/21/2008,21,-1.7079,9.8567,0
1/21/2008,22,-1.399,9.5962,0
1/21/2008,23,-1.8378,9.7925,0
1/22/2008,0,-1.9926,8.9847,0
1/22/2008,1,-1.3686,8.5665,0
1/22/2008,2,-1.4221,8.2977,0
1/22/2008,3,-1.4459,7.7268,0
1/22/2008,4,-1.3836,7.1518,0
1/22/2008,5,-1.4279,6.6817,0
1/22/2008,6,-0.771,6.5805,0
1/22/2008,7,0.9462,6.6682,0.258231937
1/22/2008,8,49.0961,7.0782,13.37388811
1/22/2008,9,164.8251,7.6297,44.78510179
1/22/2008,10,382.6024,8.7833,103.4062854
1/22/2008,11,543.7517,10.3117,145.9214101
1/22/2008,12,461.4419,11.0165,123.426191
1/22/2008,13,570.1713,11.5495,152.1291863
1/22/2008,14,516.7735,11.9453,137.6262788
1/22/2008,15,400.0006,12.3203,106.3400095
1/22/2008,16,194.6287,12.2942,51.74831667
1/22/2008,17,40.7634,11.9677,10.85490107
1/22/2008,18,-3.031,11.4115,0
1/22/2008,19,-2.2282,10.5448,0
1/22/2008,20,-2.674,9.747,0
1/22/2008,21,-2.1967,9.234,0
1/22/2008,22,-1.8375,8.917,0
1/22/2008,23,-1.1023,7.9932,0
1/23/2008,0,-2.4328,7.5842,0
1/23/2008,1,-2.0251,6.2983,0
1/23/2008,2,-1.7389,6.0589,0
1/23/2008,3,-0.838,6.1366,0
1/23/2008,4,-1.4064,6.3072,0
1/23/2008,5,-1.7736,5.8236,0
1/23/2008,6,-1.747,5.4445,0
1/23/2008,7,1.3304,4.7377,0.366296205
1/23/2008,8,52.1744,4.6179,14.3728798
1/23/2008,9,247.939,6.0635,67.85362109
1/23/2008,10,270.7982,7.3719,73.66662219
1/23/2008,11,491.4548,8.1903,133.1902097
1/23/2008,12,549.6743,9.5685,148.0214487
1/23/2008,13,473.0719,10.3377,126.9383776
1/23/2008,14,502.2027,10.9605,134.3640185
1/23/2008,15,392.0313,11.7133,104.5188278
1/23/2008,16,156.2157,11.7965,41.63216749
1/23/2008,17,54.1156,11.7433,14.42564284
1/23/2008,18,-2.673,11.2378,0
1/23/2008,19,-3.2149,10.2503,0
1/23/2008,20,-2.3721,9.5567,0
1/23/2008,21,-1.5863,9.4207,0
1/23/2008,22,-1.4331,9.404,0
1/23/2008,23,-0.54,9.3795,0
1/24/2008,0,-0.721,8.8663,0
1/24/2008,1,-0.6215,8.8223,0
1/24/2008,2,-1.3529,8.3748,0
1/24/2008,3,-2.0413,8.3558,0
1/24/2008,4,-1.1785,8.5161,0
1/24/2008,5,-1.3852,7.8859,0
1/24/2008,6,-1.2387,8.0479,0
1/24/2008,7,-0.0751,6.3941,0
1/24/2008,8,97.0226,6.8553,26.45620746
1/24/2008,9,237.2455,8.0195,64.34705902
1/24/2008,10,454.9699,8.8298,122.9386678
1/24/2008,11,562.7539,9.938,151.2837241
1/24/2008,12,622.8278,10.6088,166.9109993
1/24/2008,13,617.7034,10.8785,165.3294732
1/24/2008,14,483.2903,11.447,129.0101168
1/24/2008,15,387.0218,11.6073,103.2345336
1/24/2008,16,184.3452,11.5483,49.18599541
1/24/2008,17,55.973,11.0813,14.96708924
1/24/2008,18,-2.3019,10.4993,0
1/24/2008,19,-2.7751,9.7895,0
1/24/2008,20,-2.9621,9.2845,0
1/24/2008,21,-1.937,8.8758,0
1/24/2008,22,-1.9229,8.6415,0
1/24/2008,23,-2.1458,8.5187,0
1/25/2008,0,-2.0415,8.1344,0
1/25/2008,1,-1.3923,7.6061,0
1/25/2008,2,-1.8691,7.3037,0
1/25/2008,3,-2.0621,6.9408,0
1/25/2008,4,-1.9655,6.2542,0
1/25/2008,5,-0.8518,6.4802,0
1/25/2008,6,-0.8484,6.7387,0
1/25/2008,7,1.7285,6.5966,0.471887846
1/25/2008,8,104.025,6.9937,28.3476317
1/25/2008,9,282.7667,7.538,76.86376514
1/25/2008,10,447.322,8.7765,120.9019106
1/25/2008,11,570.2088,9.823,153.3697737
1/25/2008,12,294.4508,10.5477,78.93206412
1/25/2008,13,216.3361,11.1752,57.82252914
1/25/2008,14,175.5592,12.1637,46.7067132
1/25/2008,15,134.7596,12.4117,35.81039284
1/25/2008,16,119.4265,12.6905,31.69422563
1/25/2008,17,14.4896,12.5858,3.84724599
1/25/2008,18,-2.2286,12.0302,0
1/25/2008,19,-2.4908,11.1392,0
1/25/2008,20,-2.3518,10.2123,0
1/25/2008,21,-2.0874,9.6323,0
1/25/2008,22,-2.1483,9.2045,0
1/25/2008,23,-2.1495,8.7435,0
1/26/2008,0,-2.4086,8.4556,0
1/26/2008,1,-2.2038,7.8894,0
